time [s],distance [m]
4.156,21.979
4.159,22.092
4.161,22.026
4.163,22.054
4.166,22.063
4.168,22.073
4.171,22.129
4.173,22.157
4.176,22.148
4.178,22.176
4.181,22.214
4.183,22.242
4.185,22.232
4.188,22.279
4.190,22.317
4.193,22.326
4.195,22.364
4.198,22.382
4.200,22.476
4.203,22.411
4.205,22.457
4.208,22.504
4.210,22.476
4.212,22.495
4.215,22.523
4.217,22.617
4.220,22.523
4.222,22.598
4.225,22.636
4.227,22.645
4.230,22.654
4.232,22.664
4.234,22.692
4.237,22.711
4.239,22.767
4.242,22.758
4.244,22.786
4.247,22.786
4.249,22.851
4.252,22.823
4.254,22.851
4.256,22.889
4.259,22.889
4.261,22.926
4.264,22.945
4.266,22.973
4.269,22.973
4.271,22.973
4.274,23.002
4.276,23.020
4.279,23.058
4.281,23.067
4.283,23.077
4.286,23.105
4.288,23.152
4.291,23.161
4.293,23.152
4.296,23.227
4.298,23.217
4.301,23.236
4.303,23.264
4.305,23.302
4.308,23.320
4.310,23.302
4.313,23.330
4.315,23.320
4.318,23.349
4.320,23.377
4.323,23.396
4.325,23.414
4.327,23.461
4.330,23.461
4.332,23.461
4.335,23.527
4.337,23.508
4.340,23.536
4.342,23.564
4.345,23.602
4.347,23.583
4.350,23.658
4.352,23.668
4.354,23.705
4.357,23.696
4.359,23.733
4.362,23.743
4.364,23.752
4.367,23.799
4.369,23.799
4.372,23.808
4.374,23.818
4.376,23.846
4.379,23.846
4.381,23.855
4.384,23.855
4.386,23.874
4.389,23.921
4.391,23.940
4.394,23.977
4.396,23.977
4.398,24.015
4.401,24.024
4.403,24.043
4.406,24.137
4.408,24.127
4.411,24.137
4.413,24.090
4.416,24.137
4.418,24.165
4.421,24.165
4.423,24.155
4.425,24.090
4.428,24.080
4.430,24.090
4.433,24.165
4.435,24.212
4.438,24.212
4.440,24.221
4.443,24.296
4.445,24.259
4.447,24.305
4.450,24.305
4.452,24.409
4.455,24.390
4.457,24.371
4.460,24.474
4.462,24.484
4.465,24.521
4.467,24.502
4.469,24.549
4.472,24.624
4.474,24.643
4.477,24.662
4.479,24.681
4.482,24.737
4.484,24.737
4.487,24.728
4.489,24.812
4.492,24.812
4.494,24.878
4.496,24.896
4.499,24.943
4.501,24.915
4.504,24.896
4.506,24.953
4.509,24.934
4.511,25.037
4.514,24.981
4.516,25.028
4.518,25.037
4.521,25.037
4.523,25.009
4.526,25.065
4.528,25.047
4.531,25.103
4.533,25.112
4.536,25.140
4.538,25.112
4.540,25.168
4.543,25.178
4.545,25.253
4.548,25.244
4.550,25.253
4.553,25.272
4.555,25.281
4.558,25.328
4.560,25.365
4.563,25.365
4.565,25.431
4.567,25.431
4.570,25.403
4.572,25.469
4.575,25.469
4.577,25.450
4.580,25.487
4.582,25.600
4.585,25.525
4.587,25.553
4.589,25.572
