time [s],distance [m]
0.1,0.33
0.2,0.67
0.3,1.04
0.4,1.5
0.5,1.85
0.6,2.36
0.7,2.89
0.8,3.37
0.9,3.95
1.0,4.47
1.1,5.07
1.2,5.68
1.3,6.31
1.4,6.94
1.5,7.59
1.6,8.3
1.7,8.99
1.8,9.7
